Architecture,Strategy,Accuracy,Macro F1,MCC,R2L F1,U2R F1
RF,class-weighted,0.6961,0.5686,0.5376,0.5891,0.3789
RF,modified-SMOTE,0.6872,0.5505,0.5297,0.573,0.3105
XGB,class-weighted,0.7012,0.5775,0.544,0.5874,0.4187
XGB,modified-SMOTE,0.7152,0.5911,0.5608,0.606,0.4356
DNN,class-weighted,0.6017,0.4774,0.4453,0.4799,0.1558
DNN,modified-SMOTE,0.6348,0.502,0.4751,0.5062,0.2233
