dataset,pair,variant,RC,lo_95,hi_95,n,sig
nsl_kdd_v2,rf-dnn,5class_cw,-0.0113,-0.0275,0.0054,1000,ns
nsl_kdd_v2,rf-dnn,5class_smote,0.0339,0.0165,0.0506,1000,POS
nsl_kdd_v2,rf-dnn,POOLED,0.0113,-0.0001,0.0222,2000,ns
nsl_kdd_v2,rf-xgb,5class_cw,0.575,0.5597,0.5898,1000,POS
nsl_kdd_v2,rf-xgb,5class_smote,0.5591,0.5447,0.5724,1000,POS
nsl_kdd_v2,rf-xgb,POOLED,0.567,0.5576,0.5765,2000,POS
nsl_kdd_v2,xgb-dnn,5class_cw,-0.1859,-0.2031,-0.1687,1000,NEG
nsl_kdd_v2,xgb-dnn,5class_smote,-0.0695,-0.0855,-0.053,1000,NEG
nsl_kdd_v2,xgb-dnn,POOLED,-0.1277,-0.14,-0.1168,2000,NEG
