protocol,dataset,alpha,nominal,empirical_mean,empirical_min,empirical_max,mean_threshold,mean_scts
strict,cic_ids2017_v2,0.05,0.95,0.9341666666666666,0.788,0.975,0.23363481567894373,67.26713302940712
strict,cic_ids2017_v2,0.1,0.9,0.8955000000000001,0.721,0.942,0.10872192534563015,53.22945446725546
strict,cic_ids2017_v2,0.2,0.8,0.8463333333333334,0.657,0.9,0.027253500879459828,31.977421627413264
strict,nsl_kdd_v2,0.05,0.95,0.5475,0.511,0.593,0.12749898839267929,13.067274077166816
strict,nsl_kdd_v2,0.1,0.9,0.534,0.509,0.591,0.050377169378639286,9.51513012627065
strict,nsl_kdd_v2,0.2,0.8,0.5246666666666667,0.493,0.591,0.02881737938270051,4.255244507047782
strict,unsw_nb15_v2,0.05,0.95,0.9021666666666667,0.88,0.92,0.76875985570898,60.7951236592597
strict,unsw_nb15_v2,0.1,0.9,0.7888333333333334,0.776,0.802,0.6615607048605674,58.51259091223927
strict,unsw_nb15_v2,0.2,0.8,0.6808333333333333,0.638,0.711,0.45708218077020124,54.73076656090256
v2,cic_ids2017_v2,0.05,0.95,0.9218333333333333,0.784,0.966,0.21053579588962093,64.25672454521278
v2,cic_ids2017_v2,0.1,0.9,0.8596666666666667,0.72,0.938,0.1534016264983851,46.65631045613865
v2,cic_ids2017_v2,0.2,0.8,0.8215,0.661,0.905,0.07967617221741069,31.402227176707186
v2,nsl_kdd_v2,0.05,0.95,0.9718333333333332,0.962,0.979,0.7971986344219869,78.69240816751515
v2,nsl_kdd_v2,0.1,0.9,0.9594999999999999,0.95,0.967,0.7333891812804043,77.73566552611851
v2,nsl_kdd_v2,0.2,0.8,0.8938333333333334,0.723,0.938,0.5156901547524975,67.43216446106761
v2,unsw_nb15_v2,0.05,0.95,0.9261666666666667,0.908,0.939,0.8012930814295708,60.64156911911562
v2,unsw_nb15_v2,0.1,0.9,0.8736666666666667,0.845,0.905,0.7518981617232922,59.9587803845078
v2,unsw_nb15_v2,0.2,0.8,0.7959999999999999,0.783,0.814,0.6612098056718613,58.30646068451549
