dataset,exchangeability,model,score,budget_frac,scope,n,bound_three_stage,bound_two_stage,bound_calibration_only,empirical_recall_at_k,empirical_recall_at_tau,n_selected_at_tau,k,n_attacks_dep,violation_rate_three_stage,violation_rate_two_stage,violation_rate_calibration_only
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.01,DoS,200,0.038662832781857365,0.0555107988241915,0.06313091408197011,0.07099383316457007,0.05245157341890792,147.855,200.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.01,Probe,200,0.001276912928950392,0.0025947314209216715,0.0048659699156860725,0.007595280148575257,0.005693705003788757,147.855,200.0,1125.0,0.0,0.0,0.155
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.01,R2L,200,0.0,0.0,2.0513108727479998e-06,0.0,0.0,147.855,200.0,112.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.01,all_attacks,200,0.02785615160155717,0.03986402968322471,0.04524744675318961,0.05079728871972593,0.037560195074785266,147.855,200.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.02,DoS,200,0.09535117762110731,0.12071550491059391,0.13134485542135554,0.14202078087506934,0.11476533592064461,323.435,400.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.02,Probe,200,0.005286243870232537,0.007618506397899226,0.011169867619676583,0.015016542921500911,0.01229628547881352,323.435,400.0,1125.0,0.0,0.0,0.14
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.02,R2L,200,0.0,0.0,2.0513108727479998e-06,0.0,0.0,323.435,400.0,112.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.02,all_attacks,200,0.06833911776109593,0.0863497253926285,0.09394427815801645,0.10158188472705358,0.08213310566573767,323.435,400.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.05,DoS,200,0.2841047862039215,0.32546420576350354,0.3404628993589999,0.35348510375994785,0.3094984213144787,872.295,1000.0,2687.5,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.05,Probe,200,0.02029570607700759,0.025021993844312706,0.0313361650664843,0.04132660268054951,0.03322161361978967,872.295,1000.0,1125.0,0.0,0.0,0.07
