Dataset,Model,Accuracy,MCC,ECE_before,ECE_after,ECE_reduction_%
NSL-KDD,rf_binary_cw,0.7649041873669269,0.5996408201755166,0.1642231006467875,0.0029287540904281,98.21660041803297
NSL-KDD,xgb_binary_cw,0.7936036195883606,0.6409658605680923,0.1887441424030289,0.0053747382789659,97.15236816860302
NSL-KDD,dnn_binary_cw,0.7904542228530873,0.6171716676132846,0.1902142925739203,0.0062568553897232,96.7106281525655
NSL-KDD,rf_5class_smote,0.7483144073811213,0.6375007685379165,0.1615433834152894,0.0434154203373377,73.12460627017634
NSL-KDD,xgb_5class_smote,0.7942689850958127,0.7024142564815868,0.183404477340922,0.0590975687008237,67.77746674582541
NSL-KDD,dnn_5class_smote,0.7885911994322214,0.6932874079116211,0.1986212928437695,0.029255505952643,85.27071013697679
CIC-IDS2017,rf_binary_cw,0.9981753193191192,0.9942143980812556,0.0011947100036919,0.0004761602317003,60.14428353082616
CIC-IDS2017,xgb_binary_cw,0.9989501837178494,0.9966781038347248,0.0007048226748435,0.0003724926484867,47.15087045554986
CIC-IDS2017,dnn_binary_cw,0.9712550303696853,0.9160150712730243,0.0133831466085742,0.0012746573573134,90.47565274001585
CIC-IDS2017,rf_5class_smote,0.9982003149448846,0.9945972548074269,0.001127998706189,0.0004898344955732,56.574906257815634
CIC-IDS2017,xgb_5class_smote,0.9988751968405529,0.9966293219994384,0.0009212593088577,0.0002908905615355,68.42468143999709
CIC-IDS2017,dnn_5class_smote,0.9642562551553479,0.9042717749249147,0.026223249340136,0.0031640706771947,87.9341013916535
