Model,mean_SCTS,mean_c1_calibration,mean_c2_stability,mean_c3_conformal,bottom_quartile_acc,top_quartile_acc,accuracy_gap_pp
dnn_5class_smote,76.79134763447843,0.7632191320978201,0.8297355233783453,0.7395933377399666,0.4010152284263959,0.7617801047120419,36.0764876285646
dnn_binary_cw,83.60586967865383,0.8534935429573643,0.8476624866971485,0.8164430177803063,,0.8042588042588042,
rf_5class_smote,63.993918188203715,0.7463122472687141,0.5039891160417757,0.7366011060605513,0.3930635838150289,0.9543147208121828,56.12511369971539
rf_binary_cw,78.1636617909307,0.915044617229492,0.6029303661534484,0.8900229578286829,0.0,0.9660493827160492,
xgb_5class_smote,68.92195824122619,0.7689330033999021,0.5754528702655892,0.7669972264905394,0.3956043956043956,0.9613095238095238,56.57051282051282
xgb_binary_cw,63.70682142062634,0.791605223378592,0.5132363954717516,0.6761785382809846,0.5414746543778802,0.9657534246575342,42.4278770279654
