Dataset,Model,ECE_before,ECE_after,ECE_reduction_%
CIC-IDS2017,rf_binary_cw,0.0011947100036919,0.0004761602317003,60.14428353082616
CIC-IDS2017,xgb_binary_cw,0.0007048226748435,0.0003724926484867,47.15087045554986
CIC-IDS2017,dnn_binary_cw,0.0133831466085742,0.0012746573573134,90.47565274001585
CIC-IDS2017,rf_5class_smote,0.001127998706189,0.0004898344955732,56.574906257815634
CIC-IDS2017,xgb_5class_smote,0.0009212593088577,0.0002908905615355,68.42468143999709
CIC-IDS2017,dnn_5class_smote,0.026223249340136,0.0031640706771947,87.9341013916535
