Dataset,Model,Accuracy,MacroF1,MCC
NSL-KDD,rf_binary_cw,0.7649041873669269,0.763638042159118,0.5996408201755166
NSL-KDD,xgb_binary_cw,0.7936036195883606,0.7932120569225939,0.6409658605680923
NSL-KDD,dnn_binary_cw,0.7904542228530873,0.790427198649891,0.6171716676132846
NSL-KDD,rf_5class_smote,0.7483144073811213,0.5253036203115997,0.6375007685379165
NSL-KDD,xgb_5class_smote,0.7942689850958127,0.6387051174864459,0.7024142564815868
NSL-KDD,dnn_5class_smote,0.7885911994322214,0.5838539831007332,0.6932874079116211
CIC-IDS2017,rf_binary_cw,0.9981753193191192,0.9971069346574505,0.9942143980812556
CIC-IDS2017,xgb_binary_cw,0.9989501837178494,0.9983382960142341,0.9966781038347248
CIC-IDS2017,dnn_binary_cw,0.9712550303696853,0.956567490187745,0.9160150712730243
CIC-IDS2017,rf_5class_smote,0.9982003149448846,0.9752376738060935,0.9945972548074269
CIC-IDS2017,xgb_5class_smote,0.9988751968405529,0.9802688093398636,0.9966293219994384
CIC-IDS2017,dnn_5class_smote,0.9642562551553479,0.7920234969488964,0.9042717749249147
